Titre;Description;MotsClés;NomDuLieu;CodePostal;Ville;Région;Département;TypeEvénement;AgeMinimum;AgeMaximum;ConditionsDeParticipation
Dictée cauchoise;Dictée cauchoise (parler normand) à partir d'une fable de La Fontaine;;Bibliothèque Condorcet;76290;Montivilliers;Normandie;Seine-Maritime;Atelier;;;Sur inscription
La nuit de quatre heures et demie;La nuit de quatre heures et demie : Des histoires qui éclairent les lanternes et font briller les yeux.;"Lectures;kamishibaï;Marionnettes";Médiathèque La Grande Nouvelle;61600;La Ferté-Macé;Normandie;Orne;Lecture / Conte;4;7;Sur inscription
Apéro littéraire autour de Marcel Pagnol, passager de l'île de France;Marcel Pagnol passager de l'île de France;"Paquebot île-de-France;Pagnol;Apéro littéraire";Médiathèque Landowski;92100;Boulogne-Billancourt;Île-de-France;Hauts-de-Seine;Lecture / Conte;16;99;Entrée libre
Lecture de contes;Lecture de contes pour un petit groupe d'enfants du PAJ;;Bibliothèque de Chanteloup-les-Vignes;78570;Chanteloup-les-Vignes;Île-de-France;Yvelines;Lecture / Conte;8;10;Sur inscription
Un Escape Game à la médiathèque;Venez tenter l’aventure de l’Escape Game;"escape game;jeu;médiathèque";Médiathèque intercommunale de Remiremont;88200;Remiremont;Grand Est;Vosges;Soirée jeux (jeux de société, jeux vidéo, jeux d’évasion/escape game);10;99;Sur inscription
Exposition« L’enfant et la nuit »;L'Enfant et la nuit : une exposition et des lectures qui font peur... mais pas trop !;"lectures;nuit;enfant;exposition;numérique";Médiathèque intercommunale de Remiremont;88200;Remiremont;Grand Est;Vosges;Exposition;;;Entrée libre
Nuit de la Lecture sous les étoiles - Lire le ciel;Apprenez à lire le ciel dans un planétarium;"planétarium;astronomie;lecture";Bibliothèque - Cité des sciences et de l'industrie;75019;Paris;Île-de-France;Paris;Atelier;3;99;Entrée libre
Pochettes mystère;Vos bibliothécaires vous ont préparé des pochettes-mystère de livres pour les fans de polar ! À emprunter les yeux fermés et à ouvrir chez soi !;pochettes mystère surprise polar;Bibliothèque municipale de Fontenay-le-Fleury;78330;Fontenay-le-Fleury;Île-de-France;Yvelines;Autre (précisez dans le champ ci-dessous);;;Sur inscription
Partage de lectures spécial Polar;Mordus de polars ou lecteurs occasionnels… Ce rendez-vous est fait pour vous ! Les bibliothécaires vous parlent de leurs dernières lectures et vous invitent à partager les vôtres.;partage lectures polar;Bibliothèque municipale de Fontenay-le-Fleury;78330;Fontenay-le-Fleury;Île-de-France;Yvelines;Partage de coups de cœur, conseils de lecture, « speed-booking »;;;Entrée libre
"Exposition ""des souris et des livres""";Exposition de sculpture;"Livres;souris;ateliers";Médiathèque Michel Etiévant, Longvic;21600;Longvic;Bourgogne-Franche-Comté;Côte-d'Or;Exposition;7;99;Entrée libre
Douceur pour les oreilles - Chansons de nos enfances;Chansons de nos enfances;"chansons enfantines;enfants;chansons";Médiathèque La Passerelle;26500;Bourg-lès-Valence;Auvergne-Rhône-Alpes;Drôme;Autre (précisez dans le champ ci-dessous);3;99;Sur inscription
Tang'olive;L'école de musique de Nyons s'associe à Tang'olive. Quand la musique vivante donne envie de danser, quand le rythme des pas des danseurs inspirent les musiciens.;"ecole de musique;tango;danse;musique";Médiathèque départementale de la Drôme Provençale;26110;Nyons;Auvergne-Rhône-Alpes;Drôme;Spectacle (danse, concert, performance, théâtre…);;;Entrée libre
Ca va valser !;De Led Zeppelin à Marc Perrone en passant par Madness et Bourvil, Ça Va Valser revisite l’accordéon et enflamme le bitume.;"Musique;accordeon";Médiathèque départementale de la Drôme Provençale;26110;Nyons;Auvergne-Rhône-Alpes;Drôme;Spectacle (danse, concert, performance, théâtre…);;;Entrée libre
Giono;Lectures de textes de Giono;"lecture;Giono;provence";Médiathèque départementale de la Drôme Provençale;26110;Nyons;Auvergne-Rhône-Alpes;Drôme;Lecture / Conte;;;Entrée libre
Jeux;Des jeux en bois pour tous;"jeux;famille";Médiathèque départementale de la Drôme Provençale;26110;Nyons;Auvergne-Rhône-Alpes;Drôme;Soirée jeux (jeux de société, jeux vidéo, jeux d’évasion/escape game);;;Entrée libre
Bar à soupe;Un bar à soupe pour se restaurer.;"soupe;collation;chaud";Médiathèque départementale de la Drôme Provençale;26110;Nyons;Auvergne-Rhône-Alpes;Drôme;Dégustation, buffet, collation…;;;Entrée libre
Lectures sous la couette;Des histoires pour les 6/10 ans au chaud avec chocolat et pop-corn.;"lecture;albums;enfants;pop-corn;chocolat";Médiathèque départementale de la Drôme Provençale;26110;Nyons;Auvergne-Rhône-Alpes;Drôme;Lecture / Conte;6;10;Entrée libre
La nuit des héros : concours de déguisement et studio photo steampunk;La nuit de la lecture c’est l’occasion de venir à la médiathèque pour plonger dans des mondes imaginaires !;"concours;ddeguisement;super-héros;studio photo";Médiathèque de Rochefort;17300;Rochefort;Nouvelle-Aquitaine;Charente-Maritime;Concours;;;Entrée libre
Découverte ludique de l’univers de  Lénoard De Vinci;Découverte ludique de l'univers de Léonard De Vinci;"Littérature jeunesse;histoires;Kamishibaï";Médiathèque de Saint-Florent;79000;Niort;Nouvelle-Aquitaine;Deux-Sèvres;Atelier;5;10;Entrée libre
« Histoires en partage »;Lectures de contes, poésies et anecdotes;histoires contes poésie;Bibliotheque Serre Cavalier;30000;Nîmes;Occitanie;Gard;Lecture / Conte;7;99;Entrée libre
"Lire au Fort / Lecture musicale de ""Claire-Solange, âme africaine"" de Suzanne Lacascade par Joëlle Ferly, voix, et Damien Théophile, piano.";Lecture musicale par Joëlle Ferly et Damien Théophile;"Claire-Solange âme africaine;Suzanne Lacascade;Joëlle ferly;Damien Théophile;lecture musicale";Fort Fleur d'Épée;97190;Le Gosier;Guadeloupe;;Lecture / Conte;;;Entrée libre
La fonte de K;Spectacle par la Cie Amouramouramour;;Médiathèque de Lorp-Sentaraille / Réseau de lecture Couserans-Pyrénées;9190;Lorp-Sentaraille;Occitanie;Ariège;Spectacle (danse, concert, performance, théâtre…);;;Entrée libre
"Lecture par les collègiens participant au Prix littéraire ""Les incoruptibles""";Les élève du club de lecture du CES Mozart, vont nous lire un extrait du livre de leur choix;"lecture;Jeunes;Les incoruptibles";Médiathèque Municipale;90400;Danjoutin;Bourgogne-Franche-Comté;Territoire-de-Belfort;Lecture / Conte;;;Entrée libre
Lecture Adulte;Nous invitons tous les adultes qui le souhaitent à venir lire un extrait de leur livre favori;Lecture à haute voix;Médiathèque Municipale;90400;Danjoutin;Bourgogne-Franche-Comté;Territoire-de-Belfort;Lecture / Conte;;;Entrée libre
Quizz culture générale;quizz de culture générale tout public;"quizz;jeu";Arnaville - Bibliothèque;54530;Arnaville;Grand Est;Meurthe-et-Moselle;Soirée jeux (jeux de société, jeux vidéo, jeux d’évasion/escape game);;;Entrée libre
Lecture pour enfants;Lecture d'album et de contes;"lecture;contes;histoires;enfants";Arnaville - Bibliothèque;54530;Arnaville;Grand Est;Meurthe-et-Moselle;Lecture / Conte;;;Entrée libre
Bookface : t'as vu ta tête ?;Une sélection de livres du CDI pour changer de tête;;Collège Louis-Pasteur;21500;Montbard;Bourgogne-Franche-Comté;Côte-d'Or;Atelier;;;Sur inscription
Ateliers fabrication d'un spray anti-monstres;Venez fabriquer votre spray anti-monstres à la Bulle pour chasser les vilains cauchemars !;atelier;La Bulle - Médiathèque de Mazé;49630;Mazé-Milon;Pays de la Loire;Maine-et-Loire;Atelier;3;99;Sur inscription
Quizz Polar;Quizz Polar;"quizz;BD";Médiathèque Vezin-le-Coquet;35132;Vezin-le-Coquet;Bretagne;Ille-et-Vilaine;Soirée jeux (jeux de société, jeux vidéo, jeux d’évasion/escape game);;;Entrée libre
