Titre;Description;MotsClés;NomDuLieu;CodePostal;Ville;Région;Département;TypeEvénement;AgeMinimum;AgeMaximum;ConditionsDeParticipation
Conte écologique : La banquise;Spectacle conte écologique;;Médiathèque municipale La Croisée des Arts;83470;Saint-Maximin-la-Sainte-Baume;Provence-Alpes-Côte d'Azur;Var;Spectacle (danse, concert, performance, théâtre…);2;99;Sur inscription
Venez Bruncher autour d'un Scrabble;Venez Bruncher autour d'un Scrabble;"scrabble;partage;brunch";Bibliothèque La Plume Enchantée;27440;Lisors;Normandie;Eure;Soirée jeux (jeux de société, jeux vidéo, jeux d’évasion/escape game);;;Entrée libre
Atelier Réalité virtuelle;Atelier de réalité virtuelle;"réalité virtuelle;oeuvres d'art";Bibliothèque de Colmar Pôle Média Culture Edmond Gerrer;68000;Colmar;Grand Est;Haut-Rhin;Atelier;12;99;Entrée libre
Lecgustation;Lecture-dégustation de poésie, conte, roman et vins végans.;"Plélan le grand;poésie;dégustation";Médiathèque Julien Gracq;35380;Plélan-le-Grand;Bretagne;;Lecture / Conte;7;99;Sur inscription
Soirée Moyen-Age;Animations en déambulation sur le thème du Moyen-Age;"lectures;danse;chant;Moyen-Age;jeux;activité manuelle";Médiathèque municipale d'Arques;62510;Arques;Hauts-de-France;;Atelier;4;99;Sur inscription
Des lettres et des jeux;Jeux de mots, jeux de lettres, quiz littéraire et lecture de textes par leurs auteurs.;jeu;Château de Moncourt-Fromonville;77140;Montcourt-Fromonville;Île-de-France;;Soirée jeux (jeux de société, jeux vidéo, jeux d’évasion/escape game);16;99;Entrée libre
Lectures mystérieuses en nocturne;Lecture de textes d'auteurs du village ou ayant vécu dans le village et les environs.;"fantastique;mystère";Château de Moncourt-Fromonville;77140;Montcourt-Fromonville;Île-de-France;;Lecture / Conte;16;99;Sur inscription
Ouverture exeptionnelle en soirée;La médiathèque restera exceptionnellement ouverte 2 heures de plus;;Médiathèque Marcelle Maurette;44290;Guémené-Penfao;Pays de la Loire;Loire-Atlantique;Lecture / Conte;;;Entrée libre
Lectures pour petits supers héros et super héroïnes;Avis à tous les Trop Supers Héros et Trop Supers Héroïnes. Venez découvrir les histoires et autres surprises de vos Trop Supers Bibliothécaires.;"Lectures;Suer héros";Médiathèque Lisa Bresner;44100;Nantes;Pays de la Loire;Loire-Atlantique;Lecture / Conte;2;99;Entrée libre
Tullio Corda et Le Village de tous rois : lecture spectacle;4e Nuit de la lecture à la médiathèque de Décines : samedi 18 janvier 2020, 16h-17h. Un univers minimaliste aux dimensions grandioses !;"Tullio Corda;Médiathèque de Décines";Médiathèque de Décines-Charpieu;69150;Décines-Charpieu;Auvergne-Rhône-Alpes;Métropole de Lyon;Lecture / Conte;5;99;Sur inscription
Projection d'albums Story play;Projection d’albums numériques pour les 3-8 ans à partir de l’application Story play (biblio Gironde). Pour le plaisir de partager des histoires.;;Médiathèque Andernos-les-Bains;33510;Andernos-les-Bains;Nouvelle-Aquitaine;Gironde;Projection;3;8;Sur inscription
Lecture- musique- chant;Lecture- Musique- Chant;"musique lecture;chant;texte";Bibliothèque municipale d'Albigny-sur-Saône;69250;Albigny-sur-Saône;Auvergne-Rhône-Alpes;Métropole de Lyon;Lecture / Conte;15;99;Entrée libre
Atelier bricolage;Fabrication d'objets et décorations en matériaux recyclés;bricolage recyclage;Médiathèque de la Vallée de Villé;67220;Villé;Grand Est;Bas-Rhin;Atelier;4;99;Entrée libre
Table de présentation sur Boris Vian (Livres, musique, peinture...);Présentation d'oeuvres de Boris Vian et autour de lui;"Boris Vian;Peinture;roman;chansons;albums";Bibliothèque municipale;35220;Saint-Didier;Bretagne;;Exposition;7;99;Entrée libre
Ateliers anti-gaspi;Ateliers culinaires en famille, à partir de recettes anti-gaspi !;"atelier;jeu;atelier cuisine;dégustation";Médiathèque du Bachut;69008;Lyon-8E-Arrondissement;Auvergne-Rhône-Alpes;Métropole de Lyon;Atelier;5;99;Sur inscription
Fruits et légumes animés;Initiation à la technique du stop motion;"atelier;atelier numérique";Médiathèque du Bachut;69008;Lyon-8E-Arrondissement;Auvergne-Rhône-Alpes;Métropole de Lyon;Atelier;;;Entrée libre
Enquête à la Bibliothèque;Murder party;murder party;Bibliothèque municipale de Soissons;2200;Soissons;Hauts-de-France;Aisne;Soirée jeux (jeux de société, jeux vidéo, jeux d’évasion/escape game);7;99;Sur inscription
"Partage de la "" Madeleine de Proust """;"Partage d'une "" madeleine de Proust "" à la pause déjeuner";"partage;mulhouse;dégustation";FSESJ - Campus Fonderie;68100;Mulhouse;Grand Est;;Dégustation, buffet, collation…;;;Entrée libre
Grignottage littéraire;Les Toqués du Perray viendront préparer un délicieux buffet autour duquel chacun pourra échanger  ses recettes préférées et d’une belle sélection de livres de cuisine.;"Buffet;Recettes de cuisine;Livres de cuisine";Médiathèque Floresca Guépin;44300;Nantes;Pays de la Loire;Loire-Atlantique;Dégustation, buffet, collation…;;;Entrée libre
Soirée Time's up, spécial personnages de fiction;Par équipe de 4/5 personnes, vous aurez pour mission de faire deviner le plus de personnages possibles en 30 secondes et en 3 manches. Venez-vous amuser entre amis ou en famille (à partir de 10 ans) !;"jeu;littérature";Médiathèque de Vire;14500;Vire Normandie;Normandie;Calvados;Soirée jeux (jeux de société, jeux vidéo, jeux d’évasion/escape game);;;Sur inscription
En route vers le Vietnam : projection sur les ethnies et la culture du riz;Projection;projection;Médiathèque de Bièvres;91570;Bièvres;Île-de-France;Essonne;Projection;;;Sur inscription
En route vers le Vietnam - Lectures et contes;Lectures et contes;"lecture;contes";Médiathèque de Bièvres;91570;Bièvres;Île-de-France;Essonne;Lecture / Conte;;;Sur inscription
Tirage au sort;Tirage au sort;"tirage au sort;cadeaux;chèque lire";Médiathèque Louis Aragon;92220;Bagneux;Île-de-France;;Autre (précisez dans le champ ci-dessous);;99;Entrée libre
Nuit noire : jeux vidéo;À vos manettes !;;Médiathèque intercommunale de Pont-Château;44160;Pontchâteau;Pays de la Loire;Loire-Atlantique;Soirée jeux (jeux de société, jeux vidéo, jeux d’évasion/escape game);;;Entrée libre
Nuit noire : Loterie;Gagner des chèques Lire par tirage au sort;;Médiathèque intercommunale de Pont-Château;44160;Pontchâteau;Pays de la Loire;Loire-Atlantique;Soirée jeux (jeux de société, jeux vidéo, jeux d’évasion/escape game);;;Entrée libre
